Address,Score,abiencoderv2-array,array-by-reference,incorrect-shift,multiple-constructors,name-reused,public-mappings-nested,rtlo,shadowing-state,suicidal,uninitialized-state,uninitialized-storage,unprotected-upgrade,arbitrary-send,controlled-array-length,controlled-delegatecall,delegatecall-loop,msg-value-loop,reentrancy-eth,storage-array,unchecked-transfer,weak-prng,enum-conversion,erc20-interface,erc721-interface,incorrect-equality,locked-ether,mapping-deletion,shadowing-abstract,tautology,write-after-write,boolean-cst,constant-function-asm,constant-function-state,divide-before-multiply,reentrancy-no-eth,reused-constructor,tx-origin,unchecked-lowlevel,unchecked-send,uninitialized-local,unused-return,incorrect-modifier,shadowing-builtin,shadowing-local,uninitialized-fptr-cst,variable-scope,void-cst,calls-loop,events-access,events-maths,incorrect-unary,missing-zero-check,reentrancy-benign,reentrancy-events,timestamp,assembly,assert-state-change,boolean-equal,deprecated-standards,erc20-indexed,function-init-state,low-level-calls,missing-inheritance,naming-convention,pragma,redundant-statements,solc-version,unimplemented-functions,unused-state,costly-loop,dead-code,reentrancy-unlimited-gas,similar-names,too-many-digits,constable-states,external-function,arbitrary-send-erc20,arbitrary-send-erc20-permit
0x044727e50ff30db57fad06ff4f5846eab5ea52a2,80,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,1,,,,,,,,,,6,,,4,3,1,,,3,,,11,,,11,,1,2,,2,1,1,,1,2,14,12,,
0x728829B74577831F47953BCDBC8dfca27141c56e,80,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,4,,,1,,,,1,,,2,,,,5,,,,2,3,4,,2,,,,,,2,,29,,1,2,,2,18,10,4,30,,2,7,,
0x2aaa5cb023cf458e7dfa765fd48b64cd95995ab7,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,2,,,,,,5,,,1,1,15,,,,39,,,,,22,,
0xffdc00285dde1f5b5c65c6a963357b4c55d8f601,75,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,3,1,,,,,,,,,9,,4,,2,,,,,,,5,,,37,,,2,,,,,2,,2,4,7,,
0x7eaee60040135f20f508a393ca400ded339d654e,71,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,3,1,,,,,3,3,,,2,,3,,1,,4,,1,2,8,2,,,,,,1,2,,12,,1,1,,1,,7,2,2,5,,28,,
0xda6802bbec06ab447a68294a63de47ed4506acaa,80,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,1,,7,,3,6,5,4,,,1,,,2,,,36,,,2,,2,3,9,2,1,4,7,4,,
0xaf7bfa6240745fd41d1ed4b5fade9dcaf369ba6c,76,,,,,,,,,,,,,1,,,,,3,,3,,,,,,,,,,,,,,,2,,,,,3,4,,,6,,3,,1,,7,,3,10,15,2,,,1,,,2,,,34,1,1,17,,1,,7,,2,7,5,32,,
0x64619f611248256F7F4b72fE83872F89d5d60d64,80,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,1,,1,4,3,,2,,,,,4,4,,120,,1,2,,,1,14,3,2,2,2,2,,
0x005D1123878Fc55fbd56b54C73963b234a64af3c,79,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,,,,,6,1,,1,,,,1,,,1,,,,,,6,,3,1,4,2,,,,,,,1,,18,,1,2,,1,,11,,1,1,1,14,,
0x9eeb6c5ff183e6001c65a12d70026b900ae76781,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,4,,,,2,,,,,,2,,17,,1,2,,,1,11,,77,,2,21,,
0xe580074A10360404AF3ABfe2d524D5806D993ea3,80,,,,,,,,,,,,,1,,,,,4,,1,,,,,,,,,,,,,,6,,,,,,,3,,,4,,,,,,,,,6,11,,2,,,,,6,3,,17,,1,2,,,1,13,8,43,,1,45,,
0xdfe6891ce8e5a5c7cf54ffde406a6c2c54145f71,80,,,,,,,,,,,,,,,,,,2,,1,,,,,1,,,,,,,,,,,,,,,,11,,,2,,,,,,7,,3,4,4,8,2,,,,,2,5,,42,,,1,,,,24,,1,4,,33,,
0x4a5eb6574fe68c55362fc73b9ea76953d837985b,78,,,,,,,,6,,,,,,,,,,,,,,,,,6,1,,,,,,,,1,8,,,,,3,1,,,2,,3,,,,,,7,4,9,11,2,,,,,,2,,33,,1,2,,,,20,,2,9,5,36,,
0xa7002FCCC20F10a38c579A8D2D14D34F2A9a02A5,78,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,2,,,6,,,3,5,,,6,,3,,4,,3,,2,5,5,4,,,,,,,3,,18,,1,,,1,3,4,,1,8,9,39,,
0x23125108bc4c63E4677b2E253Fa498cCb4B3298b,80,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,3,,,3,3,1,2,,,,,3,2,,10,,1,,,,1,10,,43,3,5,24,,
0xfe351e7718568050ea885798f3e82fa891cef78b,80,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,3,4,1,2,,,,,,2,,23,,1,,,,,10,3,1,1,,24,,
0xf6a22b0593df74f218027a2d8b7953c9b4542aa1,80,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,,6,,1,2,4,1,2,,,,,3,2,,13,,1,1,,,1,11,2,43,4,4,28,,
0x84f4f7cdb4574c9556a494dab18ffc1d1d22316c,76,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,,,,,,2,1,,,,,1,1,,,2,,,,,,4,,1,3,3,,2,,,,,3,4,,23,,1,2,,,1,20,2,8,4,1,20,,
0x30ea7c369b87fe261de28a1eefafe806696a738b,78,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,4,,4,3,4,1,,,,,,1,,,14,,1,1,,,1,3,4,31,3,5,22,,
0x156df0dd6300C73ac692D805720967cf4464776e,86,,,,,,,,,,,,,1,,,,,5,,1,,,,,,,,,,,,,,,1,,,,,3,2,,,2,,3,,1,,,,1,3,10,2,,,,,,1,2,,18,,,2,,2,,13,,2,3,1,27,,
